threshold,precision,recall,f1,f0_5,accuracy,specificity,balanced_accuracy,tp,fp,fn,tn
0.8200000000000001,0.8707523079945001,0.7533990482664854,0.8078359908883828,0.8444452910697959,0.7940630797773655,0.8489786550378701,0.8011888516521777,4433,658,1451,3699
0.8300000000000001,0.8707201889020071,0.7520394289598912,0.8070399416377895,0.8440790477643828,0.7933795527780491,0.849208170759697,0.800623799859794,4425,657,1459,3700
0.84,0.8715723022292365,0.7508497620666214,0.8067196201953803,0.8444189602446485,0.793281906063861,0.8505852650906587,0.80071751357864,4418,651,1466,3706
0.85,0.8721551553532555,0.7489802855200544,0.8058882691780196,0.8443822808093194,0.7926960257787325,0.8517328436997934,0.8003565646099239,4407,646,1477,3711
0.86,0.872636815920398,0.7452413324269205,0.8039233660280501,0.8437884852216749,0.7911336783517234,0.8531099380307551,0.7991756352288377,4385,640,1499,3717
0.87,0.873101518784972,0.7425220938137321,0.8025349008082293,0.8434362934362936,0.7900595644956547,0.8542575166398898,0.798389805226811,4369,635,1515,3722
0.88,0.8738702550712995,0.7394629503738953,0.8010678449783669,0.8432170542635661,0.788985450639586,0.8558641266926784,0.7976635385332869,4351,628,1533,3729
0.89,0.875,0.7352141400407886,0.7990395271518286,0.84294621979735,0.787520749926765,0.8581592839109479,0.7966867119758683,4326,618,1558,3739
0.9,0.8774469820554649,0.7313052345343304,0.7977382276603632,0.8437254901960785,0.7869348696416366,0.8620610511820059,0.7966831428581682,4303,601,1581,3756
0.91,0.8801320404373839,0.7250169952413325,0.7950796757058989,0.8440170940170941,0.7852748755004394,0.8666513656185448,0.7958341804299387,4266,581,1618,3776
0.92,0.881947346427079,0.7173691366417403,0.7911902530459232,0.8432555537797666,0.7824431207889855,0.870323617167776,0.7938463769047581,4221,565,1663,3792
0.93,0.8860004261666311,0.7066621346023113,0.786234281932495,0.8432024659312135,0.7792207792207793,0.8772090888225843,0.7919356117124479,4158,535,1726,3822
0.9400000000000001,0.8904772377391686,0.688137321549966,0.7763397564950628,0.8410186108341642,0.7721902157992384,0.8857011705301813,0.7869192460400736,4049,498,1835,3859
0.9500000000000001,0.8989077387868929,0.6573759347382733,0.7593992343182487,0.8373744371319709,0.7606679035250464,0.9001606610052789,0.778768297871776,3868,435,2016,3922
0.96,0.9108079748163693,0.5900747790618627,0.7161716171617161,0.8215029339390497,0.731276242554438,0.9219646545788387,0.7560197168203506,3472,340,2412,4017
